record_id,year,employee_id,facility_id,facility_name,country,region,department,gender,ethnicity,job_level,is_leadership,current_salary,training_hours,had_injury,left_company,parental_leave_taken
WF-0000052,2022,EMP-00052,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Director,True,145122.51,24.9,False,False,False
WF-0000053,2022,EMP-00053,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,62710.56,24.5,False,False,False
WF-0000054,2022,EMP-00054,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Black,Mid-Level,False,60380.86,27.0,False,False,False
WF-0000055,2022,EMP-00055,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,108303.94,26.2,False,False,False
WF-0000056,2022,EMP-00056,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Manager,True,136675.98,23.1,False,True,False
WF-0000057,2022,EMP-00057,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Manager,True,110110.69,29.5,False,False,False
WF-0000058,2022,EMP-00058,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Senior,False,75953.66,25.4,False,True,False
WF-0000059,2022,EMP-00059,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,59481.67,25.9,False,False,True
WF-0000060,2022,EMP-00060,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,69125.05,25.0,False,False,False
WF-0000061,2022,EMP-00061,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,57739.17,26.0,False,False,False
WF-0000062,2022,EMP-00062,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,Black,Director,True,141456.96,24.2,False,False,False
WF-0000063,2022,EMP-00063,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Director,True,182762.68,23.3,False,True,False
WF-0000064,2022,EMP-00064,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Manager,True,129589.81,25.3,False,False,False
WF-0000065,2022,EMP-00065,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,White,Mid-Level,False,57455.47,28.9,False,False,False
WF-0000066,2022,EMP-00066,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,VP,True,295766.62,27.1,False,False,False
WF-0000067,2022,EMP-00067,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Manager,True,103660.82,28.4,False,False,False
WF-0000068,2022,EMP-00068,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,65201.1,24.8,False,False,False
WF-0000069,2022,EMP-00069,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Manager,True,109709.7,24.4,False,False,False
WF-0000070,2022,EMP-00070,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,43693.53,25.0,False,True,False
WF-0000071,2022,EMP-00071,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Junior,False,32572.56,27.0,False,True,False
WF-0000072,2022,EMP-00072,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,White,Mid-Level,False,55471.11,28.0,False,False,False
WF-0000073,2022,EMP-00073,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,52807.2,25.4,False,False,False
WF-0000074,2022,EMP-00074,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,72320.88,23.2,False,False,False
WF-0000075,2022,EMP-00075,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,66226.67,27.9,False,False,False
WF-0000076,2022,EMP-00076,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Hispanic,Mid-Level,False,68422.65,28.2,False,False,True
WF-0000077,2022,EMP-00077,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Senior,False,82490.4,27.0,False,False,False
WF-0000078,2022,EMP-00078,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Mid-Level,False,64951.39,28.9,False,True,False
WF-0000079,2022,EMP-00079,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Black,Junior,False,41237.81,22.2,False,False,False
WF-0000080,2022,EMP-00080,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,83280.88,24.2,False,False,False
WF-0000081,2022,EMP-00081,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,VP,True,203503.07,26.0,False,False,False
WF-0000082,2022,EMP-00082,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,39295.92,23.9,False,False,False
WF-0000083,2022,EMP-00083,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,68192.88,27.8,False,False,False
WF-0000084,2022,EMP-00084,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,97705.05,23.6,False,False,False
WF-0000085,2022,EMP-00085,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,57625.69,28.7,False,False,False
WF-0000086,2022,EMP-00086,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Manager,True,119384.36,24.3,False,False,False
WF-0000087,2022,EMP-00087,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,67217.49,28.8,False,False,False
WF-0000088,2022,EMP-00088,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Hispanic,Senior,False,95324.18,24.4,False,True,False
WF-0000089,2022,EMP-00089,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,72976.29,21.3,False,False,False
WF-0000090,2022,EMP-00090,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Manager,True,113402.15,26.3,False,False,False
WF-0000091,2022,EMP-00091,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,36187.16,27.4,False,False,False
WF-0000092,2022,EMP-00092,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Director,True,130807.19,23.9,False,False,False
WF-0000093,2022,EMP-00093,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Manager,True,123097.02,29.2,False,False,False
WF-0000094,2022,EMP-00094,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Hispanic,Mid-Level,False,67311.39,28.7,False,False,False
WF-0000095,2022,EMP-00095,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,89088.1,25.6,False,False,False
WF-0000096,2022,EMP-00096,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Manager,True,101837.72,26.6,False,False,False
WF-0000097,2022,EMP-00097,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,C-Suite,True,565446.61,26.0,False,False,False
WF-0000098,2022,EMP-00098,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,53903.26,27.3,False,False,False
WF-0000099,2022,EMP-00099,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,80241.88,27.7,False,False,False
WF-0000100,2022,EMP-00100,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,106429.67,,False,True,False
WF-0000101,2022,EMP-00101,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Junior,False,48000.4,29.4,False,True,False
WF-0000102,2022,EMP-00102,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Black,Junior,False,37463.14,28.4,False,False,False
WF-0000103,2022,EMP-00103,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Senior,False,105436.76,23.9,False,False,False
WF-0000104,2022,EMP-00104,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Manager,True,109643.27,28.9,False,False,False
WF-0000105,2022,EMP-00105,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,Black,Junior,False,46028.76,29.8,True,False,False
WF-0000106,2022,EMP-00106,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Director,True,186026.6,22.6,False,True,True
WF-0000107,2022,EMP-00107,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,67782.62,27.4,True,False,False
WF-0000108,2022,EMP-00108,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Mid-Level,False,65209.24,27.8,False,False,False
WF-0000109,2022,EMP-00109,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Hispanic,Junior,False,41376.55,26.7,False,False,False
WF-0000110,2022,EMP-00110,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Black,Senior,False,81187.51,28.3,False,False,False
WF-0000111,2022,EMP-00111,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,64192.19,26.4,True,False,False
WF-0000112,2022,EMP-00112,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Hispanic,Junior,False,35919.63,27.0,False,False,False
WF-0000113,2022,EMP-00113,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,61568.05,22.2,False,True,False
WF-0000114,2022,EMP-00114,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,76650.81,24.7,False,False,False
WF-0000115,2022,EMP-00115,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,94800.82,28.5,False,False,True
WF-0000116,2022,EMP-00116,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Black,Junior,False,45830.9,24.6,True,False,False
WF-0000117,2022,EMP-00117,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,63037.04,25.9,False,False,False
WF-0000118,2022,EMP-00118,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Black,Mid-Level,False,69519.27,23.7,False,True,False
WF-0000119,2022,EMP-00119,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,White,Mid-Level,False,67386.65,24.7,False,False,False
WF-0000120,2022,EMP-00120,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Junior,False,40948.13,26.7,False,False,False
WF-0000121,2022,EMP-00121,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Manager,True,113111.75,25.7,False,False,False
WF-0000122,2022,EMP-00122,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Manager,True,122238.15,22.4,False,False,False
WF-0000123,2022,EMP-00123,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Manager,True,114889.59,24.5,False,False,False
WF-0000124,2022,EMP-00124,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,C-Suite,True,333933.8,28.8,False,False,False
WF-0000125,2022,EMP-00125,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Manager,True,106912.29,28.1,False,False,False
WF-0000126,2022,EMP-00126,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Junior,False,40902.1,26.1,False,False,True
WF-0000127,2022,EMP-00127,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Manager,True,114364.48,26.7,False,False,False
WF-0000128,2022,EMP-00128,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,46942.33,24.7,False,False,False
WF-0000129,2022,EMP-00129,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,Other,Junior,False,46028.18,28.8,False,True,False
WF-0000130,2022,EMP-00130,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Black,C-Suite,True,516966.81,25.5,False,False,False
WF-0000131,2022,EMP-00131,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Senior,False,90507.13,23.5,False,False,False
WF-0000132,2022,EMP-00132,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,75161.14,22.6,False,False,False
WF-0000133,2022,EMP-00133,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Black,Manager,True,98762.96,22.5,False,False,False
WF-0000134,2022,EMP-00134,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,Asian,Mid-Level,False,61275.84,24.4,False,False,False
WF-0000135,2022,EMP-00135,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,55011.18,29.3,False,False,False
WF-0000136,2022,EMP-00136,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Manager,True,119847.4,31.3,False,False,False
WF-0000137,2022,EMP-00137,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Black,Junior,False,49179.32,28.1,False,False,False
WF-0000138,2022,EMP-00138,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Junior,False,40602.2,22.5,False,False,True
WF-0000139,2022,EMP-00139,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Senior,False,88735.94,23.8,False,False,False
WF-0000140,2022,EMP-00140,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,VP,True,251758.8,23.8,False,False,False
WF-0000141,2022,EMP-00141,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Junior,False,33278.83,25.4,False,False,False
WF-0000142,2022,EMP-00142,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,55095.39,24.3,False,False,False
WF-0000143,2022,EMP-00143,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,51875.38,27.2,False,False,False
WF-0000144,2022,EMP-00144,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,35892.34,25.4,False,False,False
WF-0000145,2022,EMP-00145,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,69743.16,27.7,False,False,False
WF-0000146,2022,EMP-00146,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Junior,False,38836.32,27.2,False,False,False
WF-0000147,2022,EMP-00147,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Hispanic,Junior,False,54687.36,28.6,False,False,False
WF-0000148,2022,EMP-00148,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Hispanic,Mid-Level,False,68477.6,24.5,False,False,False
WF-0000149,2022,EMP-00149,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Senior,False,84489.27,27.9,True,False,False
WF-0000150,2022,EMP-00150,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,63596.73,24.5,False,False,False
WF-0000151,2022,EMP-00151,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Asian,Senior,False,106368.73,25.9,False,True,True
WF-0000152,2022,EMP-00152,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Hispanic,Mid-Level,False,67290.48,24.3,False,False,False
WF-0000153,2022,EMP-00153,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,White,Senior,False,80999.03,26.7,False,True,False
WF-0000154,2022,EMP-00154,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Mid-Level,False,58391.25,28.7,False,False,False
WF-0000155,2022,EMP-00155,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Junior,False,42207.5,28.3,False,False,False
WF-0000156,2022,EMP-00156,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Asian,Junior,False,52409.62,26.7,False,True,False
WF-0000157,2022,EMP-00157,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Manager,True,109004.48,25.7,False,False,False
WF-0000158,2022,EMP-00158,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,Hispanic,Junior,False,50340.6,26.0,False,True,False
WF-0000159,2022,EMP-00159,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Black,Manager,True,120825.52,29.1,False,False,False
WF-0000160,2022,EMP-00160,FAC-001,Chicago Main Plant,USA,North America,Engineering,Non-Binary,Hispanic,Senior,False,90973.74,24.3,False,False,False
WF-0000161,2022,EMP-00161,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,Black,Mid-Level,False,67353.21,26.9,False,False,False
WF-0000162,2022,EMP-00162,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Mid-Level,False,65114.97,28.2,False,False,False
WF-0000163,2022,EMP-00163,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Asian,Manager,True,133816.77,26.0,True,False,False
WF-0000164,2022,EMP-00164,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Hispanic,Senior,False,108407.7,27.9,False,False,False
WF-0000165,2022,EMP-00165,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Hispanic,Mid-Level,False,62351.28,30.4,False,False,False
WF-0000166,2022,EMP-00166,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Junior,False,48613.96,25.8,False,False,False
WF-0000167,2022,EMP-00167,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,Other,Junior,False,45913.71,25.5,False,False,True
WF-0000168,2022,EMP-00168,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,White,Manager,True,108362.86,26.4,False,False,False
WF-0000169,2022,EMP-00169,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Asian,VP,True,288032.39,27.0,False,False,False
WF-0000170,2022,EMP-00170,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Mid-Level,False,56632.18,28.7,False,False,False
WF-0000171,2022,EMP-00171,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,Other,Mid-Level,False,58512.92,28.5,False,False,False
WF-0000172,2022,EMP-00172,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Mid-Level,False,72777.75,26.7,False,False,False
WF-0000173,2022,EMP-00173,FAC-001,Chicago Main Plant,USA,North America,Engineering,Non-Binary,Asian,Senior,False,87190.55,22.1,False,False,False
WF-0000174,2022,EMP-00174,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Junior,False,45406.18,23.1,False,False,True
WF-0000175,2022,EMP-00175,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Junior,False,38994.99,27.9,False,False,True
WF-0000176,2022,EMP-00176,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,Asian,Mid-Level,False,50967.28,24.7,False,True,False
WF-0000177,2022,EMP-00177,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,White,Mid-Level,False,68378.85,28.1,False,False,False
WF-0000178,2022,EMP-00178,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,White,Junior,False,49119.93,27.6,False,True,False
WF-0000179,2022,EMP-00179,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,White,Manager,True,100268.29,25.6,False,True,False
WF-0000180,2022,EMP-00180,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Senior,False,83111.39,24.4,False,False,False
WF-0000181,2022,EMP-00181,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,White,Junior,False,48689.28,25.7,False,False,False
WF-0000182,2022,EMP-00182,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Asian,Junior,False,52366.65,26.4,False,False,False
WF-0000183,2022,EMP-00183,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Asian,Junior,False,48234.27,23.2,False,False,False
WF-0000184,2022,EMP-00184,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Asian,Junior,False,51976.91,27.9,False,False,False
WF-0000185,2022,EMP-00185,FAC-001,Chicago Main Plant,USA,North America,Engineering,Male,Asian,Mid-Level,False,56970.76,27.4,False,False,False
WF-0000186,2022,EMP-00186,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,White,Mid-Level,False,61380.73,26.4,False,False,False
WF-0000187,2022,EMP-00187,FAC-001,Chicago Main Plant,USA,North America,Engineering,Female,Black,Mid-Level,False,55307.27,26.4,False,False,False
