record_id,year,month,month_name,quarter,fiscal_period,facility_id,facility_name,country,region,facility_size,facility_employees,meter_type,scope,consumption,unit,emissions_tco2e,improvement_factor
ENV-0000039,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,9296.745,m3,0.0,1.0
ENV-0000040,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,6240.493,m3,0.0,1.0
ENV-0000041,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,6318.161,m3,0.0,1.0
ENV-0000042,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,2415.821,m3,0.0,1.0
ENV-0000043,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,1579.753,m3,0.0,1.0
ENV-0000044,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,6578.018,m3,0.0,1.0
ENV-0000045,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,9911.319,m3,0.0,1.0
ENV-0000046,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,79.252,tonnes,0.0,1.0
ENV-0000047,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,29.244,tonnes,0.0,1.0
ENV-0000048,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,22.013,tonnes,0.0,1.0
ENV-0000049,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,105.273,tonnes,0.0,1.0
ENV-0000050,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,101.799,tonnes,0.0,1.0
ENV-0000051,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,95.166,tonnes,0.0,1.0
ENV-0000052,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,100.262,tonnes,0.0,1.0
ENV-0000053,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,NORTH AMERICA,Large,1200,Waste,N/A,,tonnes,0.0,1.0
ENV-0000054,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,49.51,tonnes,0.0,1.0
ENV-0000055,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,80.772,tonnes,0.0,1.0
ENV-0000056,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Waste,N/A,29.248,tonnes,0.0,1.0
ENV-0000057,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,204.874,GJ,0.4138,1.0
ENV-0000058,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,353.846,GJ,0.7148,1.0
ENV-0000059,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,485.248,GJ,0.9802,1.0
ENV-0000060,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,904.454,GJ,1.827,1.0
ENV-0000061,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,844.6,GJ,1.7061,1.0
ENV-0000062,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,314.655,GJ,0.6356,1.0
ENV-0000063,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,328.537,GJ,0.6636,1.0
ENV-0000064,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,484.388,GJ,0.9785,1.0
ENV-0000065,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,151.705,GJ,0.3064,1.0
ENV-0000066,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Natural Gas,Scope 1,289.161,GJ,0.5841,1.0
ENV-0000067,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,1021.748,litres,2.7383,1.0
ENV-0000068,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,1388.558,litres,3.7213,1.0
ENV-0000069,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,2976.664,litres,7.9775,1.0
ENV-0000070,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,3412.04,litres,9.1443,1.0
ENV-0000071,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,1998.565,litres,5.3562,1.0
ENV-0000072,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,2698.217,litres,7.2312,1.0
ENV-0000073,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,775.116,litres,2.0773,1.0
ENV-0000074,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,1217.561,litres,3.2631,1.0
ENV-0000075,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Diesel,Scope 1,641.694,litres,1.7197,1.0
ENV-0000076,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Grid Electricity,Scope 2,256.896,MWh,0.1156,1.0
ENV-0000077,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Grid Electricity,Scope 2,1145.067,MWh,0.5153,1.0
ENV-0000078,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Grid Electricity,Scope 2,495.47,MWh,0.223,1.0
ENV-0000079,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Grid Electricity,Scope 2,1464.74,MWh,0.6591,1.0
ENV-0000080,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Grid Electricity,Scope 2,455.676,MWh,0.2051,1.0
ENV-0000081,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Grid Electricity,Scope 2,802.048,MWh,0.3609,1.0
ENV-0000082,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Grid Electricity,Scope 2,1405.33,MWh,0.6324,1.0
ENV-0000083,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,575.916,MWh,0.0058,1.0
ENV-0000084,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,212.825,MWh,0.0021,1.0
ENV-0000085,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,94.358,MWh,0.0009,1.0
ENV-0000086,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,270.669,MWh,0.0027,1.0
ENV-0000087,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,500.94,MWh,0.005,1.0
ENV-0000088,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,100.213,MWh,0.001,1.0
ENV-0000089,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,143.987,MWh,0.0014,1.0
ENV-0000090,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,51.144,MWh,0.0005,1.0
ENV-0000091,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Renewable Energy,Scope 2,106.584,MWh,0.0011,1.0
ENV-0000092,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,6046.024,m3,0.0,1.0
ENV-0000093,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,6272.486,m3,0.0,1.0
ENV-0000094,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,2786.228,m3,0.0,1.0
ENV-0000095,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,3700.876,m3,0.0,1.0
ENV-0000096,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,8005.336,m3,0.0,1.0
ENV-0000097,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,5890.666,m3,0.0,1.0
ENV-0000098,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,3929.369,m3,0.0,1.0
ENV-0000099,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,3239.853,m3,0.0,1.0
ENV-0000100,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,5857.472,m3,0.0,1.0
ENV-0000101,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Water,N/A,8023.343,m3,0.0,1.0
ENV-0000102,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Waste,N/A,45.448,tonnes,0.0,1.0
ENV-0000103,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Waste,N/A,19.719,tonnes,0.0,1.0
ENV-0000104,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Waste,N/A,6.66,tonnes,0.0,1.0
ENV-0000105,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Waste,N/A,57.651,tonnes,0.0,1.0
ENV-0000106,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Waste,N/A,87.356,tonnes,0.0,1.0
ENV-0000107,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Waste,N/A,82.719,tonnes,0.0,1.0
ENV-0000108,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Waste,N/A,37.573,tonnes,0.0,1.0
ENV-0000109,2022,1,January,Q1,2022-01,FAC-002,Detroit Assembly,USA,North America,Large,950,Waste,N/A,72.019,tonnes,0.0,1.0
ENV-0000110,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,330.398,GJ,0.6674,1.0
ENV-0000111,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,535.44,GJ,1.0816,1.0
ENV-0000112,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,124.823,GJ,0.2521,1.0
ENV-0000113,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,382.878,GJ,0.7734,1.0
ENV-0000114,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,427.744,GJ,0.864,1.0
ENV-0000115,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,388.744,GJ,0.7853,1.0
ENV-0000116,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,223.472,GJ,0.4514,1.0
ENV-0000117,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,466.009,GJ,0.9413,1.0
ENV-0000118,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,515.8,GJ,1.0419,1.0
ENV-0000119,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,335.725,GJ,0.6782,1.0
ENV-0000120,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,383.054,GJ,0.7738,1.0
ENV-0000121,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Natural Gas,Scope 1,412.171,GJ,0.8326,1.0
ENV-0000122,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,1124.125,litres,3.0127,1.0
ENV-0000123,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,1217.622,litres,3.2632,1.0
ENV-0000124,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,351.687,litres,0.9425,1.0
ENV-0000125,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,1321.15,litres,3.5407,1.0
ENV-0000126,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,1770.717,litres,4.7455,1.0
ENV-0000127,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,338.103,litres,0.9061,1.0
ENV-0000128,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,1550.35,litres,4.1549,1.0
ENV-0000129,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,2240.961,litres,6.0058,1.0
ENV-0000130,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,461.038,litres,1.2356,1.0
ENV-0000131,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,446.381,litres,1.1963,1.0
ENV-0000132,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,2008.402,litres,5.3825,1.0
ENV-0000133,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Diesel,Scope 1,2080.98,litres,5.577,1.0
ENV-0000134,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Grid Electricity,Scope 2,504.049,MWh,0.2268,1.0
ENV-0000135,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,NORTH AMERICA,Medium,600,Grid Electricity,Scope 2,,MWh,0.4483,1.0
ENV-0000136,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Grid Electricity,Scope 2,208.315,MWh,0.0937,1.0
ENV-0000137,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Grid Electricity,Scope 2,160.417,MWh,0.0722,1.0
ENV-0000138,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Grid Electricity,Scope 2,353.104,MWh,0.1589,1.0
ENV-0000139,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Grid Electricity,Scope 2,314.999,MWh,0.1417,1.0
ENV-0000140,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,282.43,MWh,0.0028,1.0
ENV-0000141,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,287.338,MWh,0.0029,1.0
ENV-0000142,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,282.921,MWh,0.0028,1.0
ENV-0000143,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,183.705,MWh,0.0018,1.0
ENV-0000144,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,302.6,MWh,0.003,1.0
ENV-0000145,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,32.819,MWh,0.0003,1.0
ENV-0000146,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,70.726,MWh,0.0007,1.0
ENV-0000147,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,205.311,MWh,0.0021,1.0
ENV-0000148,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,194.348,MWh,0.0019,1.0
ENV-0000149,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,193.765,MWh,0.0019,1.0
ENV-0000150,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,47.701,MWh,0.0005,1.0
ENV-0000151,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Renewable Energy,Scope 2,172.789,MWh,0.0017,1.0
ENV-0000152,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,5319.603,m3,0.0,1.0
ENV-0000153,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,3837.411,m3,0.0,1.0
ENV-0000154,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,3528.614,m3,0.0,1.0
ENV-0000155,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,4799.757,m3,0.0,1.0
ENV-0000156,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,4008.487,m3,0.0,1.0
ENV-0000157,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,2990.064,m3,0.0,1.0
ENV-0000158,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,2562.759,m3,0.0,1.0
ENV-0000159,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,5219.771,m3,0.0,1.0
ENV-0000160,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,2250.786,m3,0.0,1.0
ENV-0000161,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,4641.681,m3,0.0,1.0
ENV-0000162,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,3992.563,m3,0.0,1.0
ENV-0000163,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Water,N/A,3786.468,m3,0.0,1.0
ENV-0000164,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Waste,N/A,46.029,tonnes,0.0,1.0
ENV-0000165,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Waste,N/A,17.971,tonnes,0.0,1.0
ENV-0000166,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Waste,N/A,43.679,tonnes,0.0,1.0
ENV-0000167,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Waste,N/A,50.45,tonnes,0.0,1.0
ENV-0000168,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,NORTH AMERICA,Medium,600,Waste,N/A,,tonnes,0.0,1.0
ENV-0000169,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Waste,N/A,22.025,tonnes,0.0,1.0
ENV-0000170,2022,1,January,Q1,2022-01,FAC-003,Toronto Operations,Canada,North America,Medium,600,Waste,N/A,41.519,tonnes,0.0,1.0
ENV-0000171,2022,1,January,Q1,2022-01,FAC-004,Munich Precision Works,Germany,Europe,Large,1100,Natural Gas,Scope 1,217.931,GJ,0.4402,1.0
ENV-0000172,2022,1,January,Q1,2022-01,FAC-004,Munich Precision Works,Germany,Europe,Large,1100,Natural Gas,Scope 1,893.069,GJ,1.804,1.0
ENV-0000173,2022,1,January,Q1,2022-01,FAC-004,Munich Precision Works,Germany,Europe,Large,1100,Natural Gas,Scope 1,405.64,GJ,0.8194,1.0
ENV-0000174,2022,1,January,Q1,2022-01,FAC-004,Munich Precision Works,Germany,Europe,Large,1100,Natural Gas,Scope 1,141.15,GJ,0.2851,1.0
ENV-0000175,2022,1,January,Q1,2022-01,FAC-004,Munich Precision Works,Germany,Europe,Large,1100,Natural Gas,Scope 1,917.277,GJ,1.8529,1.0
