record_id,year,audit_number,supplier_id,supplier_name,category,country,annual_spend_usd,risk_profile,is_critical,audit_score,labor_compliance_pct,env_compliance_pct,safety_compliance_pct,non_conformances,audit_result,corrective_action
SUP-000038,2022,1,SUP-0020,"Reid, Ferguson and Sanchez",Components,Mexico,4942828.13,Low Risk,False,86.02,80.09,65.71,85.68,0,Approved,False
SUP-000039,2022,2,SUP-0020,"Reid, Ferguson and Sanchez",Components,Mexico,4942828.13,Low Risk,False,93.49,87.9,95.24,87.47,1,Approved,True
SUP-000040,2022,1,SUP-0021,Gray-Mayo,Raw Materials,Vietnam,3358554.15,Low Risk,True,,86.79,79.8,83.98,0,Approved,False
SUP-000041,2022,2,SUP-0021,Gray-Mayo,Raw Materials,Vietnam,3358554.15,Low Risk,True,81.91,72.92,71.6,81.86,0,Conditional Approval,False
SUP-000042,2022,1,SUP-0022,"Watts, Robinson and Nguyen",Professional Services,China,4321179.71,High Risk,True,43.56,47.15,39.0,42.87,4,Failed,True
SUP-000043,2022,2,SUP-0022,"Watts, Robinson and Nguyen",Professional Services,China,4321179.71,High Risk,True,58.13,55.76,52.92,53.17,5,Requires Improvement,True
SUP-000044,2022,3,SUP-0022,"Watts, Robinson and Nguyen",Professional Services,China,4321179.71,High Risk,True,47.64,45.51,47.93,44.25,4,Failed,True
SUP-000045,2022,4,SUP-0022,"Watts, Robinson and Nguyen",Professional Services,China,4321179.71,High Risk,True,54.98,57.61,50.64,51.55,8,Requires Improvement,True
SUP-000046,2022,1,SUP-0023,Perez Inc,Packaging,USA,852904.65,Medium Risk,False,57.8,59.97,50.69,53.49,3,Requires Improvement,True
SUP-000047,2022,1,SUP-0024,Morales-Jones,Components,India,3700060.91,Medium Risk,False,72.15,71.91,60.08,65.29,1,Conditional Approval,True
SUP-000048,2022,2,SUP-0024,Morales-Jones,Components,India,3700060.91,Medium Risk,False,81.78,80.15,76.38,74.03,0,Conditional Approval,False
SUP-000049,2022,1,SUP-0025,"Walter, Edwards and Rios",Energy,South Korea,4647997.19,Low Risk,False,77.06,80.31,78.14,77.78,1,Conditional Approval,True
SUP-000050,2022,1,SUP-0026,Wilkerson-Day,IT Services,China,2091162.22,Medium Risk,True,60.9,55.03,57.83,62.58,4,Requires Improvement,True
SUP-000051,2022,2,SUP-0026,Wilkerson-Day,IT Services,China,2091162.22,Medium Risk,True,57.88,58.01,62.0,57.16,8,Requires Improvement,True
SUP-000052,2022,1,SUP-0027,Baker and Sons,Energy,India,3180701.41,High Risk,False,57.73,60.43,55.95,58.31,7,Requires Improvement,True
SUP-000053,2022,2,SUP-0027,Baker and Sons,Energy,India,3180701.41,High Risk,False,28.3,28.12,27.97,30.81,4,Failed,True
SUP-000054,2022,1,SUP-0028,"Hoffman, Baker and Richards",IT Services,Other,2326932.34,Medium Risk,False,66.22,60.2,49.58,61.38,4,Conditional Approval,True
SUP-000055,2022,1,SUP-0029,"Ross, Robinson and Bright",Packaging,Brazil,2570067.79,Medium Risk,False,64.98,64.52,59.21,67.61,1,Requires Improvement,True
SUP-000056,2022,2,SUP-0029,"Ross, Robinson and Bright",Packaging,Brazil,2570067.79,Medium Risk,False,77.31,74.59,80.65,73.6,3,Conditional Approval,True
SUP-000057,2022,1,SUP-0030,"Snyder, Campos and Callahan",Energy,Germany,2953574.7,Low Risk,False,87.31,91.42,78.85,75.55,2,Approved,True
SUP-000058,2022,1,SUP-0031,Burton Ltd,Packaging,Germany,137009.27,Medium Risk,False,58.94,55.03,53.36,53.45,3,Requires Improvement,True
SUP-000059,2022,1,SUP-0032,Carlson-Cruz,Facilities Management,Mexico,1137338.08,Medium Risk,False,57.21,53.46,46.61,52.42,4,Requires Improvement,True
SUP-000060,2022,2,SUP-0032,Carlson-Cruz,Facilities Management,Mexico,1137338.08,Medium Risk,False,65.87,68.09,71.48,64.3,4,Conditional Approval,True
SUP-000061,2022,1,SUP-0033,"Ferrell, Rice and Maddox",Energy,USA,156378.41,Low Risk,False,87.02,80.43,77.17,89.87,1,Approved,True
SUP-000062,2022,1,SUP-0034,Frazier Inc,Energy,South Korea,3424329.91,Medium Risk,True,57.93,53.08,53.19,54.83,8,Requires Improvement,True
SUP-000063,2022,2,SUP-0034,Frazier Inc,Energy,South Korea,3424329.91,Medium Risk,True,63.72,66.99,60.41,61.11,3,Requires Improvement,True
SUP-000064,2022,1,SUP-0035,"Dyer, Potter and Mack",Components,China,1492310.87,Low Risk,False,90.13,90.76,91.96,82.14,0,Approved,False
SUP-000065,2022,2,SUP-0035,"Dyer, Potter and Mack",Components,China,1492310.87,Low Risk,False,86.93,87.02,81.72,83.73,1,Approved,True
SUP-000066,2022,1,SUP-0036,Rodriguez-Graham,Components,USA,3594751.62,Low Risk,False,71.9,70.25,69.56,65.3,1,Conditional Approval,True
SUP-000067,2022,1,SUP-0037,Smith-Bowen,IT Services,USA,3142843.5,Medium Risk,False,52.84,52.47,43.01,46.69,3,Requires Improvement,True
SUP-000068,2022,1,SUP-0038,"Baker, Mason and White",Raw Materials,India,4331901.01,Medium Risk,False,60.34,54.34,50.08,54.08,2,Requires Improvement,True
SUP-000069,2022,1,SUP-0039,Harrell LLC,Logistics,USA,1075555.67,Low Risk,True,75.85,72.91,70.78,70.24,2,Conditional Approval,True
SUP-000070,2022,2,SUP-0039,Harrell LLC,Logistics,USA,1075555.67,Low Risk,True,77.59,72.37,80.96,76.69,2,Conditional Approval,True
SUP-000071,2022,1,SUP-0040,"Romero, Gonzalez and Brooks",Components,India,91391.97,Medium Risk,True,81.21,80.53,81.19,75.06,2,Conditional Approval,True
SUP-000072,2022,2,SUP-0040,"Romero, Gonzalez and Brooks",Components,India,91391.97,Medium Risk,True,61.88,62.57,59.02,59.66,4,Requires Improvement,True
SUP-000073,2022,3,SUP-0040,"Romero, Gonzalez and Brooks",Components,India,91391.97,Medium Risk,True,68.73,62.45,73.15,62.98,4,Conditional Approval,True
SUP-000074,2022,1,SUP-0041,Ryan PLC,Professional Services,China,2357221.53,Medium Risk,False,68.84,72.84,70.49,63.68,4,Conditional Approval,True
SUP-000075,2022,1,SUP-0042,George Group,Components,China,958105.29,Medium Risk,True,59.66,54.87,59.45,57.13,4,Requires Improvement,True
SUP-000076,2022,2,SUP-0042,George Group,Components,China,958105.29,Medium Risk,True,69.98,79.26,74.62,64.93,2,Conditional Approval,True
SUP-000077,2022,3,SUP-0042,George Group,Components,China,958105.29,Medium Risk,True,62.4,58.54,64.0,67.04,4,Requires Improvement,True
SUP-000078,2022,4,SUP-0042,George Group,Components,China,958105.29,Medium Risk,True,64.64,66.93,54.43,64.13,2,Requires Improvement,True
SUP-000079,2022,1,SUP-0043,Rodriguez LLC,Professional Services,China,4236892.83,Low Risk,True,98.21,97.24,98.7,100.0,1,Approved,True
SUP-000080,2022,2,SUP-0043,Rodriguez LLC,Professional Services,China,4236892.83,Low Risk,True,84.39,77.37,85.18,79.14,1,Conditional Approval,True
SUP-000081,2022,3,SUP-0043,Rodriguez LLC,Professional Services,China,4236892.83,Low Risk,True,79.18,73.41,78.28,74.59,3,Conditional Approval,True
SUP-000082,2022,4,SUP-0043,Rodriguez LLC,Professional Services,China,4236892.83,Low Risk,True,83.53,84.84,69.84,85.68,1,Conditional Approval,True
SUP-000083,2022,1,SUP-0044,Allen-Allen,Components,India,1561132.34,Medium Risk,False,70.93,67.25,64.44,65.9,1,Conditional Approval,True
SUP-000084,2022,1,SUP-0045,"Arroyo, Miller and Tucker",IT Services,China,603937.94,Low Risk,False,97.69,93.51,98.24,89.38,2,Approved,True
SUP-000085,2022,2,SUP-0045,"Arroyo, Miller and Tucker",IT Services,China,603937.94,Low Risk,False,82.84,80.44,81.5,77.54,0,Conditional Approval,False
SUP-000086,2022,1,SUP-0046,Spence PLC,Components,China,3424283.86,Medium Risk,True,61.71,59.66,62.98,55.28,4,Requires Improvement,True
SUP-000087,2022,2,SUP-0046,Spence PLC,Components,China,3424283.86,Medium Risk,True,77.19,75.36,71.04,76.86,2,Conditional Approval,True
SUP-000088,2022,3,SUP-0046,Spence PLC,Components,China,3424283.86,Medium Risk,True,62.56,56.52,60.38,62.04,1,Requires Improvement,True
SUP-000089,2022,1,SUP-0047,Anderson Group,Components,USA,3248023.71,Medium Risk,False,80.72,84.66,72.61,77.28,0,Conditional Approval,False
SUP-000090,2022,1,SUP-0048,"Martin, Rose and Obrien",Facilities Management,Mexico,4100556.58,High Risk,False,60.89,57.59,63.26,57.55,2,Requires Improvement,True
SUP-000091,2022,2,SUP-0048,"Martin, Rose and Obrien",Facilities Management,Mexico,4100556.58,High Risk,False,28.54,29.35,33.3,25.76,3,Failed,True
SUP-000092,2022,1,SUP-0049,Hickman Ltd,Packaging,Germany,69123.86,Low Risk,False,95.89,93.76,95.18,96.26,1,Approved,True
SUP-000093,2022,1,SUP-0050,"Harris, Collins and Carney",Packaging,USA,2811994.26,Low Risk,False,78.69,84.06,81.9,77.36,3,Conditional Approval,True
SUP-000094,2022,2,SUP-0050,"Harris, Collins and Carney",Packaging,USA,2811994.26,Low Risk,False,80.99,85.68,71.44,73.23,1,Conditional Approval,True
SUP-000095,2022,1,SUP-0051,"Brooks, Lam and Hayes",IT Services,China,4976617.11,Low Risk,False,93.26,82.04,85.69,86.32,2,Approved,True
SUP-000096,2022,1,SUP-0052,Walker LLC,Professional Services,Brazil,2321322.63,Low Risk,True,96.96,90.02,100.0,86.94,0,Approved,False
SUP-000097,2022,2,SUP-0052,Walker LLC,Professional Services,Brazil,2321322.63,Low Risk,True,84.41,89.84,79.8,86.03,2,Conditional Approval,True
SUP-000098,2022,1,SUP-0053,Chapman and Sons,IT Services,Brazil,3656564.78,Medium Risk,False,67.54,61.27,67.04,60.11,4,Conditional Approval,True
SUP-000099,2022,2,SUP-0053,Chapman and Sons,IT Services,Brazil,3656564.78,Medium Risk,False,77.28,74.72,79.88,71.46,2,Conditional Approval,True
SUP-000100,2022,1,SUP-0054,"Robinson, Jones and Welch",Logistics,China,1411618.31,Medium Risk,False,66.72,61.01,55.29,67.22,3,Conditional Approval,True
SUP-000101,2022,2,SUP-0054,"Robinson, Jones and Welch",Logistics,China,1411618.31,Medium Risk,False,77.39,70.67,75.55,83.43,3,Conditional Approval,True
SUP-000102,2022,1,SUP-0055,Jones Inc,Professional Services,USA,3698747.67,Medium Risk,False,71.71,79.58,66.51,65.58,2,Conditional Approval,True
SUP-000103,2022,2,SUP-0055,Jones Inc,Professional Services,USA,3698747.67,Medium Risk,False,61.82,52.69,58.46,63.24,3,Requires Improvement,True
SUP-000104,2022,1,SUP-0056,Jones-Young,IT Services,Germany,4764055.44,Medium Risk,False,53.97,48.3,49.29,57.83,5,Requires Improvement,True
SUP-000105,2022,2,SUP-0056,Jones-Young,IT Services,Germany,4764055.44,Medium Risk,False,74.95,73.47,67.71,72.98,3,Conditional Approval,True
SUP-000106,2022,1,SUP-0057,"Washington, Ryan and Cummings",IT Services,India,4400450.23,Low Risk,False,72.8,67.25,72.69,66.75,1,Conditional Approval,True
SUP-000107,2022,2,SUP-0057,"Washington, Ryan and Cummings",IT Services,India,4400450.23,Low Risk,False,92.79,90.79,78.41,92.98,1,Approved,True
SUP-000108,2022,1,SUP-0058,"Johnston, Sanchez and Kennedy",Logistics,South Korea,291076.24,Medium Risk,False,73.38,73.07,66.64,65.4,2,Conditional Approval,True
SUP-000109,2022,2,SUP-0058,"Johnston, Sanchez and Kennedy",Logistics,South Korea,291076.24,Medium Risk,False,66.18,61.04,68.08,68.09,4,Conditional Approval,True
SUP-000110,2022,1,SUP-0059,Lee-Davis,Packaging,India,947689.36,Low Risk,False,95.12,91.28,93.12,88.82,2,Approved,True
SUP-000111,2022,2,SUP-0059,Lee-Davis,Packaging,India,947689.36,Low Risk,False,,85.99,87.58,93.41,2,Approved,True
SUP-000112,2022,1,SUP-0060,Gomez-Jenkins,Packaging,Germany,2863966.89,Medium Risk,False,53.03,50.96,42.59,53.56,7,Requires Improvement,True
SUP-000113,2022,2,SUP-0060,Gomez-Jenkins,Packaging,Germany,2863966.89,Medium Risk,False,61.57,58.05,53.74,54.29,2,Requires Improvement,True
SUP-000114,2022,1,SUP-0061,"Brown, Valdez and Lucas",Components,Vietnam,3434486.64,Medium Risk,False,59.29,60.52,52.61,55.11,3,Requires Improvement,True
SUP-000115,2022,1,SUP-0062,Powell LLC,Packaging,Brazil,3896130.98,Low Risk,False,91.96,90.37,84.94,93.13,0,Approved,False
SUP-000116,2022,2,SUP-0062,Powell LLC,Packaging,Brazil,3896130.98,Low Risk,False,89.34,88.3,79.61,80.71,2,Approved,True
SUP-000117,2022,1,SUP-0063,Wright and Sons,IT Services,Germany,2631277.38,Medium Risk,True,68.31,73.26,69.72,71.42,2,Conditional Approval,True
SUP-000118,2022,2,SUP-0063,Wright and Sons,IT Services,Germany,2631277.38,Medium Risk,True,74.74,75.56,62.0,67.18,4,Conditional Approval,True
SUP-000119,2022,3,SUP-0063,Wright and Sons,IT Services,Germany,2631277.38,Medium Risk,True,70.2,67.26,61.29,61.52,3,Conditional Approval,True
SUP-000120,2022,4,SUP-0063,Wright and Sons,IT Services,Germany,2631277.38,Medium Risk,True,64.26,65.64,72.03,58.19,3,Requires Improvement,True
SUP-000121,2022,1,SUP-0064,"West, Henderson and Ramirez",Packaging,USA,1455566.93,Low Risk,False,93.99,96.18,92.08,89.86,1,Approved,True
SUP-000122,2022,1,SUP-0065,Baxter Inc,Raw Materials,India,2134268.96,Medium Risk,False,50.29,48.12,43.97,47.57,3,Requires Improvement,True
SUP-000123,2022,1,SUP-0066,Morton-Chase,Professional Services,Mexico,1417959.84,Medium Risk,True,78.82,76.24,81.29,75.66,4,Conditional Approval,True
SUP-000124,2022,2,SUP-0066,Morton-Chase,Professional Services,Mexico,1417959.84,Medium Risk,True,76.1,69.08,76.27,79.63,4,Conditional Approval,True
SUP-000125,2022,3,SUP-0066,Morton-Chase,Professional Services,Mexico,1417959.84,Medium Risk,True,55.51,49.78,56.41,57.94,8,Requires Improvement,True
SUP-000126,2022,1,SUP-0067,Williams PLC,Energy,Germany,4307026.14,Low Risk,False,78.22,77.54,77.26,74.93,1,Conditional Approval,True
SUP-000127,2022,2,SUP-0067,Williams PLC,Energy,Germany,4307026.14,Low Risk,False,84.65,75.78,80.82,78.31,2,Conditional Approval,True
SUP-000128,2022,1,SUP-0068,Novak and Sons,Raw Materials,Taiwan,216617.12,Low Risk,False,91.54,92.2,84.78,94.55,2,Approved,True
SUP-000129,2022,2,SUP-0068,Novak and Sons,Raw Materials,Taiwan,216617.12,Low Risk,False,93.23,91.21,79.8,88.49,1,Approved,True
SUP-000130,2022,1,SUP-0069,Russell Group,Packaging,Taiwan,1173406.62,Low Risk,False,87.03,86.35,86.43,84.01,1,Approved,True
SUP-000131,2022,1,SUP-0070,Hancock Inc,Professional Services,Germany,4232483.74,Low Risk,False,86.69,80.89,85.82,84.24,0,Approved,False
SUP-000132,2022,1,SUP-0071,Gray Group,Logistics,Brazil,1538585.98,High Risk,False,51.49,52.84,52.62,47.8,5,Requires Improvement,True
SUP-000133,2022,2,SUP-0071,Gray Group,Logistics,Brazil,1538585.98,High Risk,False,45.64,45.17,45.19,48.01,7,Failed,True
SUP-000134,2022,1,SUP-0072,House-Glover,Facilities Management,Germany,1134306.31,High Risk,False,33.0,37.12,30.72,29.27,7,Failed,True
SUP-000135,2022,1,SUP-0073,Henderson-Bernard,Professional Services,India,3171807.5,Medium Risk,True,63.69,68.32,65.91,56.44,4,Requires Improvement,True
SUP-000136,2022,2,SUP-0073,Henderson-Bernard,Professional Services,India,3171807.5,Medium Risk,True,75.18,76.45,70.68,68.32,2,Conditional Approval,True
SUP-000137,2022,3,SUP-0073,Henderson-Bernard,Professional Services,India,3171807.5,Medium Risk,True,,58.07,60.99,55.99,4,Requires Improvement,True
SUP-000138,2022,1,SUP-0074,"Stanley, Tucker and Lee",Raw Materials,Germany,628104.72,Low Risk,False,,97.6,91.47,95.53,1,Approved,True
SUP-000139,2022,1,SUP-0075,Novak PLC,IT Services,China,55596.81,High Risk,False,41.51,44.17,45.9,36.61,7,Failed,True
SUP-000140,2022,1,SUP-0076,"Daniels, Adkins and Brown",Components,China,2601946.22,Low Risk,False,83.46,86.54,70.72,83.97,1,Conditional Approval,True
SUP-000141,2022,2,SUP-0076,"Daniels, Adkins and Brown",Components,China,2601946.22,Low Risk,False,84.91,87.04,80.01,78.27,0,Conditional Approval,False
SUP-000142,2022,1,SUP-0077,"Woods, Calhoun and Schmidt",IT Services,China,2807089.08,Low Risk,False,89.94,91.91,79.96,85.95,2,Approved,True
SUP-000143,2022,2,SUP-0077,"Woods, Calhoun and Schmidt",IT Services,China,2807089.08,Low Risk,False,82.43,82.12,73.75,79.65,2,Conditional Approval,True
SUP-000144,2022,1,SUP-0078,Yu Inc,Facilities Management,Mexico,1331768.39,High Risk,False,55.21,52.29,60.18,55.5,6,Requires Improvement,True
SUP-000145,2022,2,SUP-0078,Yu Inc,Facilities Management,Mexico,1331768.39,High Risk,False,36.93,36.59,34.88,39.53,7,Failed,True
SUP-000146,2022,1,SUP-0079,Jones Inc,Packaging,India,1100229.88,Low Risk,False,81.29,76.1,82.2,82.8,2,Conditional Approval,True
SUP-000147,2022,1,SUP-0080,"Hensley, Powell and David",Professional Services,Germany,3754673.06,Medium Risk,True,72.85,78.27,70.34,71.4,2,Conditional Approval,True
SUP-000148,2022,2,SUP-0080,"Hensley, Powell and David",Professional Services,Germany,3754673.06,Medium Risk,True,66.19,67.71,66.47,62.14,2,Conditional Approval,True
SUP-000149,2022,3,SUP-0080,"Hensley, Powell and David",Professional Services,Germany,3754673.06,Medium Risk,True,55.96,49.72,46.27,60.17,8,Requires Improvement,True
SUP-000150,2022,4,SUP-0080,"Hensley, Powell and David",Professional Services,Germany,3754673.06,Medium Risk,True,70.05,69.51,70.2,67.74,4,Conditional Approval,True
SUP-000151,2022,1,SUP-0081,"Sanchez, Wheeler and Harvey",IT Services,China,1641706.45,Low Risk,True,76.65,74.46,64.85,72.02,2,Conditional Approval,True
SUP-000152,2022,2,SUP-0081,"Sanchez, Wheeler and Harvey",IT Services,China,1641706.45,Low Risk,True,89.43,90.31,82.3,83.61,2,Approved,True
SUP-000153,2022,3,SUP-0081,"Sanchez, Wheeler and Harvey",IT Services,China,1641706.45,Low Risk,True,83.52,85.0,77.08,82.19,2,Conditional Approval,True
SUP-000154,2022,4,SUP-0081,"Sanchez, Wheeler and Harvey",IT Services,China,1641706.45,Low Risk,True,85.23,83.36,80.48,86.13,2,Approved,True
SUP-000155,2022,1,SUP-0082,Sandoval-Cunningham,Energy,China,1708292.5,Medium Risk,False,71.77,71.59,70.36,68.45,4,Conditional Approval,True
SUP-000156,2022,2,SUP-0082,Sandoval-Cunningham,Energy,China,1708292.5,Medium Risk,False,72.34,65.31,74.88,64.89,1,Conditional Approval,True
SUP-000157,2022,1,SUP-0083,Donovan-Harris,Packaging,China,4094516.73,Low Risk,True,83.75,72.36,83.06,77.44,1,Conditional Approval,True
SUP-000158,2022,2,SUP-0083,Donovan-Harris,Packaging,China,4094516.73,Low Risk,True,90.41,85.8,84.3,88.69,1,Approved,True
SUP-000159,2022,1,SUP-0084,"Edwards, Baker and Anderson",Packaging,China,990226.97,Low Risk,True,94.72,88.07,89.77,87.52,1,Approved,True
SUP-000160,2022,2,SUP-0084,"Edwards, Baker and Anderson",Packaging,China,990226.97,Low Risk,True,82.7,86.54,70.84,79.57,2,Conditional Approval,True
SUP-000161,2022,3,SUP-0084,"Edwards, Baker and Anderson",Packaging,China,990226.97,Low Risk,True,85.69,87.35,79.62,79.3,0,Approved,False
SUP-000162,2022,4,SUP-0084,"Edwards, Baker and Anderson",Packaging,China,990226.97,Low Risk,True,99.75,92.45,100.0,90.79,2,Approved,True
SUP-000163,2022,1,SUP-0085,"Evans, Stewart and Walton",Facilities Management,USA,2914456.69,Low Risk,False,89.44,85.67,94.54,88.56,2,Approved,True
SUP-000164,2022,1,SUP-0086,Smith PLC,IT Services,China,3118586.93,Low Risk,False,91.32,94.36,96.85,88.27,1,Approved,True
SUP-000165,2022,1,SUP-0087,"Ferrell, Jones and Lewis",Raw Materials,Mexico,3085129.37,Low Risk,True,92.1,81.68,86.52,93.55,2,Approved,True
SUP-000166,2022,2,SUP-0087,"Ferrell, Jones and Lewis",Raw Materials,Mexico,3085129.37,Low Risk,True,91.39,91.58,90.57,86.91,0,Approved,False
SUP-000167,2022,3,SUP-0087,"Ferrell, Jones and Lewis",Raw Materials,Mexico,3085129.37,Low Risk,True,82.69,77.92,81.24,73.0,2,Conditional Approval,True
SUP-000168,2022,1,SUP-0088,Anderson-Bailey,Components,India,1902223.55,High Risk,False,55.22,50.79,58.98,57.13,7,Requires Improvement,True
SUP-000169,2022,1,SUP-0089,Suarez LLC,IT Services,Vietnam,4806000.18,Medium Risk,False,65.19,56.61,62.65,64.03,3,Conditional Approval,True
SUP-000170,2022,1,SUP-0090,Moore-Bass,Energy,Vietnam,2582691.61,Medium Risk,False,68.88,59.81,74.92,61.34,4,Conditional Approval,True
SUP-000171,2022,1,SUP-0091,"Turner, Riggs and Roman",Professional Services,USA,281407.14,Medium Risk,True,71.48,69.39,81.41,64.4,1,Conditional Approval,True
SUP-000172,2022,2,SUP-0091,"Turner, Riggs and Roman",Professional Services,USA,281407.14,Medium Risk,True,80.02,87.74,75.23,81.93,2,Conditional Approval,True
SUP-000173,2022,3,SUP-0091,"Turner, Riggs and Roman",Professional Services,USA,281407.14,Medium Risk,True,57.47,54.57,62.0,49.74,8,Requires Improvement,True
