record_id,year,month,month_name,quarter,fiscal_period,facility_id,facility_name,country,region,policy_area,board_independence_pct,policy_compliance_pct,total_audit_findings,resolved_findings,open_findings,avg_resolution_days,whistleblower_per_1k,data_breach_incidents,regulatory_fines_usd,compliance_training_pct,board_status,compliance_status,resolution_status,fine_flag
GOV-0000025,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Human Rights,43.94,84.68,5,4,1,44.6,3.56,0,0.0,75.07,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000026,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Whistleblower,44.39,80.47,2,1,1,49.2,3.53,0,0.0,75.66,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000027,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Code of Conduct,44.64,81.86,0,0,0,45.3,3.44,0,0.0,78.43,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000028,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Conflict of Interest,44.25,79.68,1,0,1,49.4,3.53,0,0.0,76.01,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000029,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Supplier Standards,47.37,82.36,4,3,1,53.2,3.49,0,0.0,78.22,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000030,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Information Security,48.58,80.56,5,3,2,44.5,3.53,0,0.0,77.12,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000031,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Anti-Corruption,48.35,80.44,2,1,1,46.2,3.11,0,0.0,76.4,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000032,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Data Privacy,46.03,83.9,5,3,2,42.7,3.05,0,0.0,75.73,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000033,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Environmental,47.58,82.43,1,0,1,48.7,3.53,0,0.0,76.3,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000034,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Health & Safety,46.07,82.63,4,2,2,47.0,3.25,0,0.0,81.39,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000035,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Human Rights,48.29,82.67,5,4,1,45.9,3.91,0,0.0,75.17,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000036,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Whistleblower,44.37,81.05,1,0,1,53.5,3.6,0,0.0,75.6,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000037,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Code of Conduct,46.34,83.47,0,0,0,50.2,3.57,1,0.0,74.58,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000038,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Conflict of Interest,45.1,82.07,2,1,1,47.9,3.38,0,0.0,74.81,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000039,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Supplier Standards,44.47,83.39,4,3,1,48.3,3.67,0,0.0,77.7,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000040,2022,1,January,Q1,2022-01-01,FAC-004,Munich Precision Works,Germany,Europe,Information Security,48.04,81.54,2,1,1,46.0,3.86,0,0.0,77.79,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000041,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Anti-Corruption,43.0,81.9,3,2,1,45.8,3.74,0,0.0,73.75,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000042,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Data Privacy,46.87,80.7,1,0,1,46.7,2.95,0,0.0,76.13,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000043,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Environmental,47.07,84.58,1,0,1,46.1,3.4,0,0.0,76.42,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000044,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Health & Safety,46.74,81.78,0,0,0,45.0,3.55,0,0.0,76.08,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000045,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Human Rights,46.55,84.26,4,3,1,47.8,3.36,0,98597.01,77.04,Below Target,Non-Compliant,Significantly Delayed,True
GOV-0000046,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Whistleblower,45.31,80.21,1,0,1,48.3,3.59,0,0.0,74.82,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000047,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Code of Conduct,48.01,82.7,5,3,2,48.0,3.15,0,0.0,74.59,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000048,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Conflict of Interest,46.62,81.14,5,3,2,48.8,3.61,0,0.0,76.31,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000049,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Supplier Standards,47.14,81.92,2,1,1,46.4,3.35,0,0.0,76.59,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000050,2022,1,January,Q1,2022-01-01,FAC-005,Stuttgart Engineering,Germany,Europe,Information Security,46.61,82.26,2,1,1,43.3,4.03,0,0.0,79.03,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000051,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Anti-Corruption,44.31,83.68,1,0,1,49.8,3.58,0,0.0,79.17,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000052,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Data Privacy,47.35,81.19,1,0,1,43.3,3.35,0,0.0,74.43,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000053,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Environmental,46.22,82.53,0,0,0,50.7,3.68,0,0.0,78.01,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000054,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Health & Safety,45.57,82.73,4,2,2,49.8,3.88,0,0.0,76.81,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000055,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Human Rights,44.97,82.75,0,0,0,47.1,3.35,0,0.0,75.44,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000056,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Whistleblower,43.37,82.1,1,0,1,49.1,3.77,0,0.0,75.79,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000057,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Code of Conduct,46.53,84.35,0,0,0,49.7,3.74,0,0.0,78.26,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000058,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Conflict of Interest,46.2,82.02,4,3,1,52.5,3.48,0,0.0,75.73,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000059,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Supplier Standards,45.09,80.1,3,2,1,40.2,3.58,0,0.0,76.86,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000060,2022,1,January,Q1,2022-01-01,FAC-006,Rotterdam Hub,Netherlands,Europe,Information Security,44.41,79.34,4,3,1,49.8,3.69,0,0.0,76.82,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000061,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Anti-Corruption,43.96,80.24,2,1,1,46.4,3.65,0,0.0,75.98,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000062,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Data Privacy,48.25,81.48,4,3,1,46.6,3.52,0,0.0,77.13,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000063,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Environmental,49.38,82.06,5,4,1,47.2,3.26,0,0.0,74.64,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000064,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Health & Safety,43.56,82.27,5,3,2,43.6,3.46,0,0.0,74.55,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000065,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Human Rights,46.73,83.58,0,0,0,49.9,3.55,0,0.0,73.12,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000066,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Whistleblower,45.14,81.53,4,2,2,51.3,3.9,0,0.0,77.22,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000067,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Code of Conduct,47.42,83.36,5,3,2,48.7,3.41,0,0.0,78.18,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000068,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Conflict of Interest,45.67,80.02,5,4,1,44.3,3.26,0,0.0,74.15,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000069,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Supplier Standards,46.63,82.42,1,0,1,46.1,3.9,0,0.0,74.83,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000070,2022,1,January,Q1,2022-01-01,FAC-007,Lyon Components,France,Europe,Information Security,46.42,83.95,5,4,1,47.6,3.77,0,0.0,79.21,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000071,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Anti-Corruption,46.85,82.57,0,0,0,50.5,3.81,0,0.0,76.71,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000072,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Data Privacy,46.25,82.88,0,0,0,45.8,3.41,0,0.0,74.56,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000073,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Environmental,43.31,81.71,1,0,1,45.4,3.37,0,0.0,76.85,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000074,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Health & Safety,45.56,81.26,5,4,1,46.3,3.27,0,0.0,74.51,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000075,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Human Rights,43.04,81.61,0,0,0,48.9,3.37,0,0.0,73.83,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000076,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Whistleblower,44.99,81.82,3,2,1,52.3,3.39,0,0.0,76.93,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000077,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Code of Conduct,47.76,83.63,2,1,1,47.2,3.16,0,0.0,78.57,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000078,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Conflict of Interest,43.88,82.89,3,2,1,44.2,3.37,0,0.0,76.4,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000079,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Supplier Standards,46.26,84.24,4,2,2,47.2,3.75,0,0.0,75.29,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000080,2022,1,January,Q1,2022-01-01,FAC-008,Shanghai Manufacturing,China,Asia Pacific,Information Security,44.95,82.8,2,1,1,49.8,3.78,0,0.0,75.12,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000081,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Anti-Corruption,44.15,82.49,4,3,1,48.4,3.21,0,0.0,79.84,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000082,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Data Privacy,47.23,82.67,3,2,1,52.9,3.55,0,39480.2,76.57,Below Target,Non-Compliant,Significantly Delayed,True
GOV-0000083,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Environmental,45.5,84.28,3,1,2,48.2,3.68,0,0.0,74.03,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000084,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Health & Safety,44.19,82.72,2,1,1,51.3,3.74,0,0.0,73.51,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000085,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Human Rights,49.63,80.28,1,0,1,48.9,3.21,0,0.0,76.12,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000086,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Whistleblower,46.96,80.84,0,0,0,49.6,3.29,0,0.0,76.56,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000087,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Code of Conduct,45.63,83.26,0,0,0,53.7,3.91,0,0.0,75.1,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000088,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Conflict of Interest,46.83,83.06,4,3,1,45.1,3.01,0,0.0,76.42,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000089,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Supplier Standards,47.63,84.95,0,0,0,46.8,3.36,0,11787.19,78.63,Below Target,Non-Compliant,Significantly Delayed,True
GOV-0000090,2022,1,January,Q1,2022-01-01,FAC-009,Bangalore Tech Centre,India,Asia Pacific,Information Security,45.24,80.49,0,0,0,48.2,3.69,0,0.0,75.19,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000091,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Anti-Corruption,46.31,81.61,2,1,1,40.0,3.55,0,0.0,75.41,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000092,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Data Privacy,46.72,78.81,2,1,1,46.2,3.16,0,0.0,72.07,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000093,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Environmental,48.31,83.41,0,0,0,48.0,3.44,0,0.0,75.19,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000094,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Health & Safety,46.06,78.98,3,1,2,55.0,3.38,0,0.0,74.79,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000095,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Human Rights,47.62,85.47,3,2,1,48.5,3.58,0,0.0,78.06,Below Target,Near Compliant,Significantly Delayed,False
GOV-0000096,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Whistleblower,45.71,81.93,4,3,1,48.2,3.75,0,0.0,76.89,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000097,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Code of Conduct,44.57,84.66,0,0,0,47.5,3.64,0,0.0,76.45,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000098,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Conflict of Interest,46.58,81.07,1,0,1,44.4,3.06,0,51818.84,75.56,Below Target,Non-Compliant,Slightly Delayed,True
GOV-0000099,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Supplier Standards,44.23,83.53,4,3,1,48.1,3.48,0,0.0,75.55,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000100,2022,1,January,Q1,2022-01-01,FAC-010,Singapore Distribution,Singapore,Asia Pacific,Information Security,46.74,86.11,4,3,1,54.6,3.6,0,0.0,74.53,Below Target,Near Compliant,Significantly Delayed,False
GOV-0000101,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Anti-Corruption,46.33,80.39,1,0,1,47.9,3.58,0,72718.14,74.63,Below Target,Non-Compliant,Significantly Delayed,True
GOV-0000102,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Data Privacy,45.37,82.86,5,4,1,43.7,3.58,0,0.0,72.75,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000103,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Environmental,45.84,80.66,2,1,1,47.8,3.27,0,0.0,74.22,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000104,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Health & Safety,45.12,82.46,3,1,2,43.4,3.57,0,0.0,75.61,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000105,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Human Rights,44.56,81.69,1,0,1,50.3,3.35,0,0.0,76.05,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000106,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Whistleblower,44.74,80.95,1,0,1,47.3,3.39,0,0.0,77.03,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000107,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Code of Conduct,47.29,80.96,1,0,1,50.1,3.28,0,0.0,77.2,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000108,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Conflict of Interest,47.73,79.66,4,2,2,41.1,3.52,0,0.0,75.65,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000109,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Supplier Standards,45.67,82.47,5,4,1,44.6,3.68,0,0.0,78.84,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000110,2022,1,January,Q1,2022-01-01,FAC-011,Monterrey Plant,Mexico,Latin America,Information Security,44.97,82.1,2,1,1,51.6,3.71,0,0.0,75.89,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000111,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Anti-Corruption,44.25,82.05,2,1,1,47.5,3.3,0,0.0,76.4,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000112,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Data Privacy,43.99,80.57,3,2,1,49.6,3.28,0,0.0,76.52,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000113,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Environmental,45.37,83.04,0,0,0,52.6,3.68,0,0.0,75.44,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000114,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Health & Safety,45.75,84.62,4,2,2,45.1,3.32,0,0.0,77.1,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000115,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Human Rights,48.2,83.0,0,0,0,52.7,3.47,0,0.0,74.48,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000116,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Whistleblower,46.41,84.66,4,2,2,50.2,3.38,0,0.0,74.81,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000117,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Code of Conduct,47.65,82.36,3,2,1,49.8,3.78,0,0.0,76.33,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000118,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Conflict of Interest,46.04,81.48,1,0,1,54.0,3.18,0,0.0,75.03,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000119,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Supplier Standards,49.32,80.07,3,2,1,48.0,3.68,0,0.0,77.34,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000120,2022,1,January,Q1,2022-01-01,FAC-012,Sao Paulo Operations,Brazil,Latin America,Information Security,47.54,82.62,1,0,1,53.4,3.67,0,0.0,75.71,Below Target,Non-Compliant,Significantly Delayed,False
